,0
1036,GO:0030674
1037,GO:0005096
1038,GO:0070851
1039,GO:0005125
1040,GO:0051427
1041,GO:0005178
1042,GO:0050839
1043,GO:0005179
1044,GO:0005200
1045,GO:0005215
1046,GO:0005216
1047,GO:0015075
1048,GO:0015267
1049,GO:0015318
1050,GO:0015276
1051,GO:0005253
1052,GO:0005261
1053,GO:0005267
1054,GO:0022829
1055,GO:0005244
1056,GO:0022832
1057,GO:0005262
1058,GO:0099106
1059,GO:0005254
1060,GO:0015108
1061,GO:0022890
1062,GO:0015085
1063,GO:0015079
1064,GO:0015081
1065,GO:0042887
1066,GO:0022857
1067,GO:0015299
1068,GO:0015491
1069,GO:0046943
1070,GO:0005315
1071,GO:0005319
1072,GO:0015932
1073,GO:1901505
1074,GO:0005342
1075,GO:0005344
1076,GO:0046915
1077,GO:0015662
1078,GO:0019829
1079,GO:0008556
1080,GO:0015144
1081,GO:0015294
1082,GO:0005496
1083,GO:0042562
1084,GO:0019842
1085,GO:0005506
1086,GO:0046914
1087,GO:0005507
1088,GO:0005509
1089,GO:0051592
1090,GO:0005516
1091,GO:0019838
1092,GO:0005524
1093,GO:0032559
1094,GO:0035639
1095,GO:0005525
1096,GO:0032550
1097,GO:0032561
1098,GO:0008144
1099,GO:0033218
1100,GO:0048029
1101,GO:0005539
1102,GO:0031406
1103,GO:0035091
1104,GO:1902936
1105,GO:1901981
1106,GO:0005575
1107,GO:0005576
1108,GO:0046930
1109,GO:0062023
1110,GO:0005615
1111,GO:0005618
1112,GO:0030312
1113,GO:0016020
1114,GO:0005811
1115,GO:0005634
1116,GO:0043231
1117,GO:0005635
1118,GO:0031967
1119,GO:0019866
1120,GO:0031965
1121,GO:0005882
1122,GO:0031301
1123,GO:0031968
1124,GO:0031970
1125,GO:0005643
1126,GO:0005654
1127,GO:0031461
1128,GO:0005681
1129,GO:1990904
1130,GO:0030532
1131,GO:0005730
1132,GO:0005737
1133,GO:0005739
1134,GO:0005741
1135,GO:0031966
1136,GO:0005743
1137,GO:0070469
1138,GO:0045271
1139,GO:0045275
1140,GO:0045277
1141,GO:0005758
1142,GO:0005759
1143,GO:0070013
1144,GO:0005764
1145,GO:0005765
1146,GO:0005768
1147,GO:0005769
1148,GO:0005770
1149,GO:0098805
1150,GO:0005777
1151,GO:0042579
1152,GO:0005783
1153,GO:0005788
1154,GO:0005789
1155,GO:0031090
1156,GO:0005794
1157,GO:0098791
1158,GO:0005802
1159,GO:0005813
1160,GO:0005814
1161,GO:0005819
1162,GO:0005829
1163,GO:0005833
1164,GO:0005839
1165,GO:0005852
1166,GO:0005856
1167,GO:0005875
1168,GO:0005874
1169,GO:0005887
1170,GO:0016021
1171,GO:0031226
1172,GO:0034702
1173,GO:0098802
1174,GO:1902911
1175,GO:0044853
1176,GO:0098858
1177,GO:0098590
1178,GO:0005911
1179,GO:0070161
1180,GO:0005912
1181,GO:0005925
1182,GO:0030055
1183,GO:0005929
1184,GO:0043226
1185,GO:0005938
1186,GO:0005960
1187,GO:0005975
1188,GO:0044238
1189,GO:0071704
1190,GO:0043170
1191,GO:0005977
1192,GO:0006073
1193,GO:0006112
1194,GO:0005978
1195,GO:0009250
1196,GO:0009251
1197,GO:0044247
1198,GO:0009311
1199,GO:0044262
1200,GO:0005996
1201,GO:0044281
1202,GO:0019321
1203,GO:0019323
1204,GO:0019318
1205,GO:0019320
1206,GO:0006796
1207,GO:0019637
1208,GO:1901135
1209,GO:0006006
1210,GO:0016310
1211,GO:0006793
1212,GO:0009225
1213,GO:0006015
1214,GO:0046390
1215,GO:0046391
1216,GO:0046385
1217,GO:0046386
1218,GO:0019751
1219,GO:0034637
1220,GO:0046173
1221,GO:0006022
1222,GO:0006023
1223,GO:1901137
1224,GO:0006024
1225,GO:0006026
1226,GO:1901136
1227,GO:0009100
1228,GO:1901071
1229,GO:0006040
1230,GO:0006047
1231,GO:0006048
1232,GO:0009226
1233,GO:0046349
1234,GO:0046348
1235,GO:0006054
1236,GO:0019752
1237,GO:0019400
1238,GO:0032787
1239,GO:0046365
1240,GO:0072329
1241,GO:0006066
1242,GO:1901615
1243,GO:0034308
1244,GO:0006091
1245,GO:0055114
1246,GO:0006071
1247,GO:0006072
1248,GO:0052646
1249,GO:0044042
1250,GO:0044264
1251,GO:0051273
1252,GO:0006081
1253,GO:0006082
1254,GO:0006084
1255,GO:0006637
1256,GO:0006085
1257,GO:0071616
1258,GO:0006090
1259,GO:0006089
1260,GO:0006094
1261,GO:0019319
1262,GO:0006096
1263,GO:0006757
1264,GO:0006098
1265,GO:0006740
1266,GO:0051156
1267,GO:0006099
1268,GO:1902652
1269,GO:0043648
1270,GO:0006105
1271,GO:0006109
1272,GO:0080090
1273,GO:0010906
1274,GO:0043255
1275,GO:0015980
1276,GO:0019674
1277,GO:0006119
1278,GO:0046034
1279,GO:0022904
1280,GO:0044267
1281,GO:0042180
1282,GO:0006139
1283,GO:0006725
1284,GO:0034641
1285,GO:0019219
1286,GO:0019220
1287,GO:0062012
1288,GO:0006144
1289,GO:0009112
1290,GO:0072521
1291,GO:0046113
1292,GO:0072523
1293,GO:0046083
1294,GO:0009164
1295,GO:0042278
1296,GO:0006163
1297,GO:0009117
1298,GO:0006164
1299,GO:0009165
1300,GO:0072522
1301,GO:0006165
1302,GO:0009132
1303,GO:0046939
1304,GO:0006166
1305,GO:0043101
1306,GO:0043174
1307,GO:0046129
1308,GO:0006167
1309,GO:0009152
1310,GO:0009168
1311,GO:0046033
1312,GO:0006168
1313,GO:0043096
1314,GO:0046084
1315,GO:0046031
1316,GO:0006177
1317,GO:0046037
1318,GO:1901070
1319,GO:0006183
1320,GO:0009206
1321,GO:0046039
1322,GO:0006188
1323,GO:0046040
1324,GO:0006189
1325,GO:0009166
1326,GO:0006206
1327,GO:0072527
1328,GO:0006207
1329,GO:0019856
1330,GO:0072529
1331,GO:0019439
1332,GO:0019860
1333,GO:0009116
1334,GO:0006220
1335,GO:0006221
1336,GO:0072528
1337,GO:0006222
1338,GO:0009174
1339,GO:0009220
1340,GO:0046049
1341,GO:0043100
1342,GO:0006226
1343,GO:0009177
1344,GO:0009221
1345,GO:0046078
1346,GO:0009197
1347,GO:0006228
1348,GO:0009209
1349,GO:0046051
1350,GO:0009212
1351,GO:0046080
1352,GO:0006231
1353,GO:0046073
1354,GO:0006233
1355,GO:0046072
1356,GO:0006235
1357,GO:0046075
1358,GO:0010138
1359,GO:0006241
1360,GO:0046036
1361,GO:0006244
1362,GO:0044260
1363,GO:0090304
1364,GO:0034645
1365,GO:0006261
1366,GO:0006265
1367,GO:0071103
1368,GO:0006266
1369,GO:0006270
1370,GO:0006275
1371,GO:2000112
1372,GO:0006282
1373,GO:2001020
1374,GO:0006284
1375,GO:0006304
1376,GO:0043412
1377,GO:0044728
1378,GO:0034655
1379,GO:0044265
1380,GO:0006313
1381,GO:0032196
1382,GO:0006323
1383,GO:0016043
1384,GO:0006333
1385,GO:0006334
1386,GO:0006338
1387,GO:0016458
1388,GO:0045814
1389,GO:0097549
1390,GO:0016569
1391,GO:0040029
1392,GO:1903506
1393,GO:0016072
1394,GO:0034470
1395,GO:0006370
1396,GO:0009452
1397,GO:0016071
1398,GO:0008033
1399,GO:0006399
1400,GO:0034660
1401,GO:0033036
1402,GO:0050658
1403,GO:0051170
1404,GO:0006405
1405,GO:0051168
1406,GO:0006406
1407,GO:0051028
1408,GO:0043624
1409,GO:0006417
1410,GO:0010608
1411,GO:0032268
1412,GO:0006418
1413,GO:0043039
